SN_name,z,distance_modulus,Explosion_MJD
1999bg,0.0043,31.83,51251
1999D,0.0104,33.17,
1999em,0.0024,29.95,51476
1999gi,0.002,29.55,51518
2000bs,0.028,35.3,51648
2000dj,0.0154,34.19,51788
2001bq,0.0087,32.78,52034
2001cm,0.0114,33.48,52063
2001hg,0.0086,33,
2001X,0.0049,31.37,
2002an,0.0129,33.85,52288
2002bx,0.0075,34.42,52354
2002ca,0.0109,33.26,52353
2002gd,0.0089,33.07,52552
2002hh,0.0001,28.87,52576
2003gd,0.0022,29.66,52735
2003hl,0.0082,32.68,52867
2003iq,0.0082,32.68,52920
2003Z,0.0043,31.77,52664
2004du,0.0168,34.4,53228
2004et,0.0001,28.87,53271
2005ay,0.0027,31.15,53442
2005cs,0.0015,29.51,53549
2018hmx,0.037,36.06,58408.646
2004ej,0.0091,32.3,53258
2012A,0.0023,29.73,55933
ASASSN14kg,0.0145,34.04,56978
2017eaw,0.000133,29.44,57885.2